title,Avg_salary,State,job_category,salary_year
"V Dart, Inc. ",$65.00 per day,CA,Business Analyst,"$16,965.00 "
Etonwood ,$798 per day,CA,Business Analyst,"$208,278.00 "
Kanand Corporation ,$312 per day,CA,Business Analyst,"$81,432.00 "
Cygnus Professionals Inc ,$69.73 per day,CA,Business Analyst,"$18,199.53 "
Greenlight Technical Consulting ,$72.46 per day,CA,Business Analyst,"$18,912.06 "
Xoriant Corporation ,$501 per day,FL,Business Analyst,"$130,761.00 "
"V Dart, Inc. ",$130 per day,MA,Business Analyst,"$33,930.00 "
"V Dart, Inc. ",$120 per day,MD,Business Analyst,"$31,320.00 "
Tekwissen ,$69.88 per day,MI,Business Analyst,"$18,238.68 "
"V Dart, Inc. ",$90.00 per day,MI,Business Analyst,"$23,490.00 "
"V Dart, Inc. ",$65.00 per day,NC,Business Analyst,"$16,965.00 "
"V Dart, Inc. ",$72.25 per day,NJ,Business Analyst,"$18,857.25 "
Samiti Technology Inc. ,$515 per day,NJ,Business Analyst,"$134,415.00 "
Collabera ,$68.24 per day,NJ,Business Analyst,"$17,810.64 "
Acrostaff ,$66.03 per day,NY,Business Analyst,"$17,233.83 "
Infonomics Recruitment ,$600 per day,NY,Business Analyst,"$156,600.00 "
Hyatt ,$240 per day,NY,Business Analyst,"$62,640.00 "
Brilliant Leap ,$674 per day,NY,Business Analyst,"$175,914.00 "
Stratacent ,$75.32 per day,NY,Business Analyst,"$19,658.52 "
PRI Technology ,$556 per day,NY,Business Analyst,"$145,116.00 "
"Frink Hamlett Legal Solutions, Inc. ",$558 per day,NY,Business Analyst,"$145,638.00 "
Creative Data Resources ,$926 per day,NY,Business Analyst,"$241,686.00 "
Infopeople Corporation ,$70.90 per day,NY,Business Analyst,"$18,504.90 "
Mondrian Alpha Recruitment Solutions ,$487 per day,NY,Business Analyst,"$127,107.00 "
Technology Partners ,$500 per day,TX,Business Analyst,"$130,500.00 "
Timberhorn LLC ,$70.13 per day,TX,Business Analyst,"$18,303.93 "
Veritude ,$84.87 per day,US,Business Analyst,"$22,151.07 "
Hyatt ,$181 per day,US,Business Analyst,"$47,241.00 "
Technology Partners ,$500 per day,US,Business Analyst,"$130,500.00 "
Acrostaff ,$69.16 per day,US,Business Analyst,"$18,050.76 "
Tekwissen ,$69.35 per day,US,Business Analyst,"$18,100.35 "
Genome International Corp ,$69.05 per day,US,Business Analyst,"$18,022.05 "
Etonwood ,$798 per day,US,Business Analyst,"$208,278.00 "
Infonomics Recruitment ,$600 per day,US,Business Analyst,"$156,600.00 "
"V Dart, Inc. ",$62.00 per day,VA,Business Analyst,"$16,182.00 "
Genome International Corp ,$65.15 per day,WI,Business Analyst,"$17,004.15 "
"V Dart, Inc. ",$120 per day,CA,Data Analyst,"$31,320.00 "
Randstad Professionals ,$73.91 per day,CA,Data Analyst,"$19,290.51 "
Stratitude Inc ,$65.00 per day,CA,Data Analyst,"$16,965.00 "
Rjt Compuquest Inc ,$69.82 per day,IL,Data Analyst,"$18,223.02 "
Arete Systems ,$68.43 per day,IL,Data Analyst,"$17,860.23 "
"Chandra Technologies, Inc. ",$71.86 per day,NC,Data Analyst,"$18,755.46 "
PRI Technology ,$212 per day,NY,Data Analyst,"$55,332.00 "
"V Dart, Inc. ",$90.00 per day,OH,Data Analyst,"$23,490.00 "
"Chandra Technologies, Inc. ",$73.91 per day,TX,Data Analyst,"$19,290.51 "
Stratitude Inc ,$65.00 per day,US,Data Analyst,"$16,965.00 "
Arete Systems ,$68.43 per day,US,Data Analyst,"$17,860.23 "
"V Dart, Inc. ",$65.00 per day,MD,Data Engineer,"$16,965.00 "
Gold Coast IT Solutions ,$79.84 per day,PA,Data Engineer,"$20,838.24 "
Gold Coast IT Solutions ,$79.84 per day,US,Data Engineer,"$20,838.24 "
Randstad Professionals ,$108 per day,US,Data Engineer,"$28,188.00 "
"V Dart, Inc. ",$65.00 per day,US,Data Engineer,"$16,965.00 "
"V Dart, Inc. ",$70.00 per day,NC,Data Scientist,"$18,270.00 "
Laguna Source ,$173 per day,NJ,Data Scientist,"$45,153.00 "
"V Dart, Inc. ",$65.00 per day,TX,Data Scientist,"$16,965.00 "
"V Dart, Inc. ",$73.11 per day,US,Data Scientist,"$19,081.71 "
World IT Solutions ,$63.13 per day,US,Data Scientist,"$16,476.93 "
Laguna Source ,$173 per day,US,Data Scientist,"$45,153.00 "
NBCUniversal ,$18.84 per hour,CA,Business Analyst,"$39,319.08 "
Volt ,$51.66 per hour,CA,Business Analyst,"$107,814.42 "
The University of California ,$27.81 per hour,CA,Business Analyst,"$58,039.47 "
Experis ,$41.10 per hour,CA,Business Analyst,"$85,775.70 "
Adecco ,$44.25 per hour,CA,Business Analyst,"$92,349.75 "
Apex Systems ,$34.72 per hour,CA,Business Analyst,"$72,460.64 "
Kforce ,$56.45 per hour,CA,Business Analyst,"$117,811.15 "
Alliance IT ,$56.19 per hour,CA,Business Analyst,"$117,268.53 "
Walmart ,$50.00 per hour,CA,Business Analyst,"$104,350.00 "
Ellianse ,$55.00 per hour,CA,Business Analyst,"$114,785.00 "
Accountemps ,$26.38 per hour,CA,Business Analyst,"$55,055.06 "
Robert Half Management Resources ,$47.59 per hour,CA,Business Analyst,"$99,320.33 "
APEX ,$44.53 per hour,CA,Business Analyst,"$92,934.11 "
DSM Staff Network ,$29.47 per hour,CA,Business Analyst,"$61,503.89 "
"Anjaneyap, Inc. ",$34.25 per hour,CA,Business Analyst,"$71,479.75 "
"Canvas Infotech, Inc. ",$30.77 per hour,CA,Business Analyst,"$64,216.99 "
Randstad Professionals ,$39.68 per hour,CA,Business Analyst,"$82,812.16 "
"APR Consulting, Inc. ",$42.69 per hour,CA,Business Analyst,"$89,094.03 "
AIC ,$55.01 per hour,CA,Business Analyst,"$114,805.87 "
MW Partners ,$38.88 per hour,CA,Business Analyst,"$81,142.56 "
Accounting Principals ,$35.41 per hour,CA,Business Analyst,"$73,900.67 "
The Norland Group ,$47.55 per hour,CA,Business Analyst,"$99,236.85 "
Crescent Solutions ,$50.83 per hour,CA,Business Analyst,"$106,082.21 "
Select Source International ,$32.60 per hour,CA,Business Analyst,"$68,036.20 "
Omega Solutions Inc ,$44.02 per hour,CA,Business Analyst,"$91,869.74 "
Collabera ,$46.33 per hour,CA,Business Analyst,"$96,690.71 "
Strategic IT Staffing ,$53.44 per hour,CA,Business Analyst,"$111,529.28 "
"CorTech, LLC ",$32.24 per hour,CA,Business Analyst,"$67,284.88 "
TechWorkers ,$63.44 per hour,CA,Business Analyst,"$132,399.28 "
adeptconsultants ,$65.00 per hour,CA,Business Analyst,"$135,655.00 "
Calsoft Labs ,$38.97 per hour,CA,Business Analyst,"$81,330.39 "
Anderson Frank ,$78.75 per hour,CA,Business Analyst,"$164,351.25 "
GEOPAQLOGIC ,$38.00 per hour,CA,Business Analyst,"$79,306.00 "
ConsultNet ,$37.06 per hour,CA,Business Analyst,"$77,344.22 "
International Programming & Systems ,$44.72 per hour,CA,Business Analyst,"$93,330.64 "
CDI Corporation ,$55.14 per hour,CA,Business Analyst,"$115,077.18 "
Net2Source ,$54.13 per hour,CA,Business Analyst,"$112,969.31 "
BL Fabricators ,$30.00 per hour,CA,Business Analyst,"$62,610.00 "
Fortuna BMC ,$37.42 per hour,CA,Business Analyst,"$78,095.54 "
inSync Staffing ,$37.23 per hour,CA,Business Analyst,"$77,699.01 "
"Agama solutions, INC. ",$38.11 per hour,CA,Business Analyst,"$79,535.57 "
Principle Solutions Group ,$57.52 per hour,CA,Business Analyst,"$120,044.24 "
Yoh ,$50.09 per hour,CA,Business Analyst,"$104,537.83 "
Mindlance ,$65.00 per hour,CA,Business Analyst,"$135,655.00 "
Aston Carter ,$30.91 per hour,CA,Business Analyst,"$64,509.17 "
On Call Staffing Solutions ,$28.02 per hour,CA,Business Analyst,"$58,477.74 "
Ajilon ,$35.97 per hour,CA,Business Analyst,"$75,069.39 "
AVISPA LLC ,$70.06 per hour,CA,Business Analyst,"$146,215.22 "
Analysts International ,$55.44 per hour,CA,Business Analyst,"$115,703.28 "
Elite Innovative Solutions Inc. ,$75.00 per hour,CA,Business Analyst,"$156,525.00 "
Creative Circle ,$37.26 per hour,CA,Business Analyst,"$77,761.62 "
HBO ,$52.00 per hour,CA,Business Analyst,"$108,524.00 "
"Robert Half, Strategic Accounts ",$37.25 per hour,CA,Business Analyst,"$77,740.75 "
Verti System ,$35.00 per hour,CA,Business Analyst,"$73,045.00 "
"APR Consulting Inc., ",$69.30 per hour,CA,Business Analyst,"$144,629.10 "
Wollborg Michelson Recruiting ,$53.14 per hour,CA,Business Analyst,"$110,903.18 "
Harmin Services ,$50.00 per hour,CA,Business Analyst,"$104,350.00 "
Intelliswift Software Inc ,$25.00 per hour,CA,Business Analyst,"$52,175.00 "
Silverlink Technologies ,$45.53 per hour,CA,Business Analyst,"$95,021.11 "
GH Remodeling ,$30.00 per hour,CA,Business Analyst,"$62,610.00 "
ektello ,$55.45 per hour,CA,Business Analyst,"$115,724.15 "
PSG Global Sloutions ,$38.73 per hour,CA,Business Analyst,"$80,829.51 "
Technocraft solutions LLc ,$52.00 per hour,CA,Business Analyst,"$108,524.00 "
Yochana IT Solutions ,$54.00 per hour,CA,Business Analyst,"$112,698.00 "
Revolution Technologies ,$43.77 per hour,CA,Business Analyst,"$91,347.99 "
TeamPersona ,$51.92 per hour,CA,Business Analyst,"$108,357.04 "
"Redolent, Inc ",$43.99 per hour,CA,Business Analyst,"$91,807.13 "
Krg Technologies ,$50.00 per hour,CA,Business Analyst,"$104,350.00 "
DISYS ,$43.72 per hour,CA,Business Analyst,"$91,243.64 "
Enterprise Logic Inc. ,$30.68 per hour,CA,Business Analyst,"$64,029.16 "
iBizTek Solutions ,$45.30 per hour,CA,Business Analyst,"$94,541.10 "
Simplion Technologies ,$65.35 per hour,CA,Business Analyst,"$136,385.45 "
"CDI, Corporation ",$36.00 per hour,CA,Business Analyst,"$75,132.00 "
Georgiait INC ,$40.00 per hour,CA,Business Analyst,"$83,480.00 "
Avispa Technology ,$51.38 per hour,CA,Business Analyst,"$107,230.06 "
VincentBenjamin ,$65.15 per hour,CA,Business Analyst,"$135,968.05 "
RadGov Inc ,$30.00 per hour,CA,Business Analyst,"$62,610.00 "
"First Tek DOS, LLC ",$28.50 per hour,CA,Business Analyst,"$59,479.50 "
"Inmata Solutions, Inc. ",$70.00 per hour,CA,Business Analyst,"$146,090.00 "
Terminal Contacts ,$60.00 per hour,CA,Business Analyst,"$125,220.00 "
Summitech Consulting ,$48.42 per hour,CA,Business Analyst,"$101,052.54 "
Q Analysts LLC ,$37.34 per hour,CA,Business Analyst,"$77,928.58 "
Okaya Infocom Pvt. Ltd. ,$40.00 per hour,CA,Business Analyst,"$83,480.00 "
Triune Infomatics Inc ,$65.00 per hour,CA,Business Analyst,"$135,655.00 "
Horizon Consulting Inc ,$55.00 per hour,CA,Business Analyst,"$114,785.00 "
Strategic Staffing Solutions ,$42.04 per hour,CA,Business Analyst,"$87,737.48 "
PSC Biotech ,$28.74 per hour,CA,Business Analyst,"$59,980.38 "
Confidential - Ecommerce ,$35.00 per hour,CA,Business Analyst,"$73,045.00 "
Technocraft Solutions ,$41.69 per hour,CA,Business Analyst,"$87,007.03 "
Judge Healthcare ,$22.00 per hour,CA,Business Analyst,"$45,914.00 "
Jivaro Group ,$29.83 per hour,CA,Business Analyst,"$62,255.21 "
"Talent Space, Inc. ",$53.02 per hour,CA,Business Analyst,"$110,652.74 "
Vedainfo Inc ,$50.00 per hour,CA,Business Analyst,"$104,350.00 "
RAO IT Inc. ,$31.86 per hour,CA,Business Analyst,"$66,491.82 "
IORMYX ,$51.96 per hour,CA,Business Analyst,"$108,440.52 "
"Tentek, Inc. ",$51.07 per hour,CA,Business Analyst,"$106,583.09 "
KRG Technologies Inc ,$53.07 per hour,CA,Business Analyst,"$110,757.09 "
"INTELLISWIFT SOFTWARE, INC ",$75.00 per hour,CA,Business Analyst,"$156,525.00 "
Indus Software Solutions Inc. ,$55.00 per hour,CA,Business Analyst,"$114,785.00 "
Kacee Technology Services Inc ,$40.00 per hour,CA,Business Analyst,"$83,480.00 "
Integrated Associates Inc. ,$54.80 per hour,CA,Business Analyst,"$114,367.60 "
Jnj Solutions Inc ,$59.67 per hour,CA,Business Analyst,"$124,531.29 "
E-solutions Inc ,$52.52 per hour,CA,Business Analyst,"$109,609.24 "
DKKD Staffing (Technology) ,$27.99 per hour,CA,Business Analyst,"$58,415.13 "
"Business Intelligence Systems, Inc. ",$34.68 per hour,CA,Business Analyst,"$72,377.16 "
SeaWorld San Diego ,$19.05 per hour,CA,Business Analyst,"$39,757.35 "
SYSTEMS AMERICA ,$70.00 per hour,CA,Business Analyst,"$146,090.00 "
RemX Specialty Staffing ,$58.06 per hour,CA,Business Analyst,"$121,171.22 "
Scopus IT ,$57.64 per hour,CA,Business Analyst,"$120,294.68 "
OfficeTeam ,$28.53 per hour,CA,Business Analyst,"$59,542.11 "
"Freedom Staffing, LLC. ",$33.26 per hour,CA,Business Analyst,"$69,413.62 "
W3 Global ,$30.00 per hour,CA,Business Analyst,"$62,610.00 "
Hire Up Staffing Services ,$20.75 per hour,CA,Business Analyst,"$43,305.25 "
Flexon Technologies Inc. ,$32.34 per hour,CA,Business Analyst,"$67,493.58 "
Ecalix Inc. ,$30.00 per hour,CA,Business Analyst,"$62,610.00 "
PTS Inc. ,$35.78 per hour,CA,Business Analyst,"$74,672.86 "
BayOne Solutions Inc ,$55.72 per hour,CA,Business Analyst,"$116,287.64 "
Technology Resource Group Inc. ,$54.34 per hour,CA,Business Analyst,"$113,407.58 "
SlingShot Connections ,$49.55 per hour,CA,Business Analyst,"$103,410.85 "
AlphaProTemps ,$42.96 per hour,CA,Business Analyst,"$89,657.52 "
"Varite,Inc ",$54.11 per hour,CA,Business Analyst,"$112,927.57 "
E-Base Technologies Inc ,$33.08 per hour,CA,Business Analyst,"$69,037.96 "
i-SAPience ,$47.89 per hour,CA,Business Analyst,"$99,946.43 "
S.com ,$39.89 per hour,CA,Business Analyst,"$83,250.43 "
Genuent ,$43.93 per hour,CA,Business Analyst,"$91,681.91 "
WeWork ,$51.77 per hour,CA,Business Analyst,"$108,043.99 "
Adroit resources ,$54.08 per hour,CA,Business Analyst,"$112,864.96 "
american it resource group inc ,$67.27 per hour,CA,Business Analyst,"$140,392.49 "
THEMESOFT ,$52.63 per hour,CA,Business Analyst,"$109,838.81 "
Adaequare Inc ,$60.00 per hour,CA,Business Analyst,"$125,220.00 "
Shimento ,$56.90 per hour,CA,Business Analyst,"$118,750.30 "
Spotline Inc. ,$60.48 per hour,CA,Business Analyst,"$126,221.76 "
Aerotek ,$25.94 per hour,CA,Business Analyst,"$54,136.78 "
KAnand CorporationCompany ,$56.95 per hour,CA,Business Analyst,"$118,854.65 "
"Global Channel Management, Inc. ",$68.45 per hour,CA,Business Analyst,"$142,855.15 "
Eastridge Workforce Solutions ,$26.87 per hour,CA,Business Analyst,"$56,077.69 "
Talent Space Inc. ,$67.96 per hour,CA,Business Analyst,"$141,832.52 "
Kacee Technologies ,$40.00 per hour,CA,Business Analyst,"$83,480.00 "
Veredus ,$47.54 per hour,CA,Business Analyst,"$99,215.98 "
GBC LLC. ,$50.00 per hour,CA,Business Analyst,"$104,350.00 "
Radiant Inc ,$40.17 per hour,CA,Business Analyst,"$83,834.79 "
"TekPartners, A P2P Staffing Company ",$54.83 per hour,CA,Business Analyst,"$114,430.21 "
The Alacer group ,$57.52 per hour,CA,Business Analyst,"$120,044.24 "
24 Seven ,$25.09 per hour,CA,Business Analyst,"$52,362.83 "
